iter	Passed	Remaining
0	43	43356
1	68	33936
2	90	29982
3	112	27901
4	142	28388
5	171	28392
6	195	27767
7	224	27858
8	248	27339
9	286	28368
10	321	28942
11	351	28903
12	385	29291
13	413	29144
14	447	29357
15	503	30985
16	532	30812
17	561	30625
18	595	30724
19	624	30579
20	660	30777
21	707	31445
22	740	31459
23	778	31666
24	832	32478
25	868	32539
26	902	32517
27	930	32299
28	963	32267
29	1012	32745
30	1042	32596
31	1073	32465
32	1108	32475
33	1137	32314
34	1164	32101
35	1192	31940
36	1224	31875
37	1256	31800
38	1289	31768
39	1329	31917
40	1370	32066
41	1403	32018
42	1432	31890
43	1466	31860
44	1490	31641
45	1516	31448
46	1540	31237
47	1588	31498
48	1628	31603
49	1668	31707
50	1694	31538
51	1718	31320
52	1742	31132
53	1772	31049
54	1798	30898
55	1824	30747
56	1853	30667
57	1882	30576
58	1908	30445
59	1932	30276
60	1956	30121
61	1988	30080
62	2012	29938
63	2038	29817
64	2060	29641
65	2096	29673
66	2123	29566
67	2147	29427
68	2171	29298
69	2195	29167
70	2224	29101
71	2254	29054
72	2282	28979
73	2313	28954
74	2341	28876
75	2364	28752
76	2387	28617
77	2411	28507
78	2438	28423
79	2462	28319
80	2484	28191
81	2507	28072
82	2534	28000
83	2559	27915
84	2583	27806
85	2606	27698
86	2632	27631
87	2659	27559
88	2683	27469
89	2707	27377
90	2731	27289
91	2759	27236
92	2783	27148
93	2806	27045
94	2827	26937
95	2852	26859
96	2871	26735
97	2890	26606
98	2908	26472
99	2927	26344
100	2950	26259
101	2973	26176
102	2996	26098
103	3018	26008
104	3046	25965
105	3070	25895
106	3091	25804
107	3115	25730
108	3141	25680
109	3169	25644
110	3194	25582
111	3218	25518
112	3242	25450
113	3268	25402
114	3312	25491
115	3344	25484
116	3367	25415
117	3392	25360
118	3417	25300
119	3451	25310
120	3480	25286
121	3504	25219
122	3524	25128
123	3543	25031
124	3563	24941
125	3580	24837
126	3601	24758
127	3626	24703
128	3653	24670
129	3678	24616
130	3699	24543
131	3720	24463
132	3737	24363
133	3755	24271
134	3773	24179
135	3792	24093
136	3812	24015
137	3835	23958
138	3864	23940
139	3889	23889
140	3911	23826
141	3931	23752
142	3949	23670
143	3968	23587
144	3985	23501
145	4003	23415
146	4023	23345
147	4046	23295
148	4072	23261
149	4097	23217
150	4120	23166
151	4141	23103
152	4159	23026
153	4176	22941
154	4192	22856
155	4212	22791
156	4236	22747
157	4260	22702
158	4286	22674
159	4311	22636
160	4336	22596
161	4356	22537
162	4375	22468
163	4394	22399
164	4413	22333
165	4431	22263
166	4455	22222
167	4480	22188
168	4507	22165
169	4529	22115
170	4550	22061
171	4569	21995
172	4588	21935
173	4612	21894
174	4635	21851
175	4657	21805
176	4686	21792
177	4719	21795
178	4755	21810
179	4787	21809
180	4811	21771
181	4833	21724
182	4857	21684
183	4883	21655
184	4912	21643
185	4942	21629
186	4971	21612
187	4993	21569
188	5015	21523
189	5039	21484
190	5068	21470
191	5097	21453
192	5126	21436
193	5157	21426
194	5183	21396
195	5204	21348
196	5223	21292
197	5246	21250
198	5267	21202
199	5286	21147
200	5306	21093
201	5336	21080
202	5368	21075
203	5396	21056
204	5420	21022
205	5442	20977
206	5464	20934
207	5486	20891
208	5508	20847
209	5531	20808
210	5562	20800
211	5588	20772
212	5608	20721
213	5627	20670
214	5648	20621
215	5667	20571
216	5687	20520
217	5705	20464
218	5728	20430
219	5753	20398
220	5779	20373
221	5808	20354
222	5834	20329
223	5857	20292
224	5881	20259
225	5906	20229
226	5926	20181
227	5950	20149
228	5974	20115
229	6000	20088
230	6025	20059
231	6047	20019
232	6066	19969
233	6088	19931
234	6108	19885
235	6132	19852
236	6160	19832
237	6193	19828
238	6233	19849
239	6261	19827
240	6283	19789
241	6303	19743
242	6322	19696
243	6341	19647
244	6359	19596
245	6384	19567
246	6408	19536
247	6429	19496
248	6452	19460
249	6475	19426
250	6504	19409
251	6527	19375
252	6556	19358
253	6580	19326
254	6608	19307
255	6637	19290
256	6663	19264
257	6690	19242
258	6718	19221
259	6740	19183
260	6761	19143
261	6786	19117
262	6813	19092
263	6836	19058
264	6858	19023
265	6884	18997
266	6912	18978
267	6939	18953
268	6961	18916
269	6988	18894
270	7013	18866
271	7034	18828
272	7054	18785
273	7073	18742
274	7096	18707
275	7121	18680
276	7150	18662
277	7174	18632
278	7204	18617
279	7240	18619
280	7266	18591
281	7287	18554
282	7311	18523
283	7336	18495
284	7360	18465
285	7381	18428
286	7403	18393
287	7427	18363
288	7452	18335
289	7473	18297
290	7497	18266
291	7521	18236
292	7547	18210
293	7574	18189
294	7605	18175
295	7631	18151
296	7658	18126
297	7682	18098
298	7704	18063
299	7728	18033
300	7753	18005
301	7777	17976
302	7803	17949
303	7827	17921
304	7853	17895
305	7880	17873
306	7902	17838
307	7923	17801
308	7948	17775
309	7975	17752
310	8001	17725
311	8024	17695
312	8055	17680
313	8079	17650
314	8113	17643
315	8139	17617
316	8167	17598
317	8193	17571
318	8221	17550
319	8248	17527
320	8287	17530
321	8319	17516
322	8345	17491
323	8374	17473
324	8404	17455
325	8433	17436
326	8466	17423
327	8505	17424
328	8532	17401
329	8562	17384
330	8593	17368
331	8620	17345
332	8649	17325
333	8680	17308
334	8707	17285
335	8738	17268
336	8768	17249
337	8796	17229
338	8826	17209
339	8863	17206
340	8897	17195
341	8929	17179
342	8959	17162
343	8989	17141
344	9019	17124
345	9049	17105
346	9077	17081
347	9104	17057
348	9132	17035
349	9165	17021
350	9234	17074
351	9268	17062
352	9381	17195
353	9450	17245
354	9479	17223
355	9508	17200
356	9529	17164
357	9549	17125
358	9570	17087
359	9592	17053
360	9617	17023
361	9643	16995
362	9666	16962
363	9690	16932
364	9718	16907
365	9740	16873
366	9760	16835
367	9782	16800
368	9806	16770
369	9835	16746
370	9866	16727
371	9898	16710
372	9924	16683
373	9950	16655
374	9972	16620
375	9995	16587
376	10017	16554
377	10045	16529
378	10076	16511
379	10103	16485
380	10132	16461
381	10153	16425
382	10174	16390
383	10198	16360
384	10221	16327
385	10246	16299
386	10273	16273
387	10301	16249
388	10334	16231
389	10355	16197
390	10382	16170
391	10411	16149
392	10439	16123
393	10464	16094
394	10487	16062
395	10510	16031
396	10537	16004
397	10566	15982
398	10591	15953
399	10614	15921
400	10636	15889
401	10663	15862
402	10691	15837
403	10713	15805
404	10739	15777
405	10764	15749
406	10790	15721
407	10811	15687
408	10831	15651
409	10852	15617
410	10877	15588
411	10903	15560
412	10932	15538
413	10961	15515
414	10986	15486
415	11010	15456
416	11028	15419
417	11048	15383
418	11067	15346
419	11089	15314
420	11113	15284
421	11140	15258
422	11164	15229
423	11190	15202
424	11210	15167
425	11229	15131
426	11249	15096
427	11269	15061
428	11289	15026
429	11314	14998
430	11340	14971
431	11366	14944
432	11391	14916
433	11418	14891
434	11444	14865
435	11465	14831
436	11485	14797
437	11513	14773
438	11538	14745
439	11562	14716
440	11585	14686
441	11613	14661
442	11637	14632
443	11659	14600
444	11678	14565
445	11698	14531
446	11719	14498
447	11743	14469
448	11770	14444
449	11801	14424
450	11832	14403
451	11856	14374
452	11880	14345
453	11913	14327
454	11941	14303
455	11973	14284
456	11999	14257
457	12027	14232
458	12051	14204
459	12075	14175
460	12096	14143
461	12116	14109
462	12135	14075
463	12159	14046
464	12183	14017
465	12206	13988
466	12227	13955
467	12252	13927
468	12276	13899
469	12302	13872
470	12325	13843
471	12350	13815
472	12376	13790
473	12401	13762
474	12427	13735
475	12455	13711
476	12482	13686
477	12507	13658
478	12527	13626
479	12547	13593
480	12573	13566
481	12601	13542
482	12630	13519
483	12664	13501
484	12691	13476
485	12720	13453
486	12751	13432
487	12778	13406
488	12805	13382
489	12836	13360
490	12868	13340
491	12898	13318
492	12930	13298
493	12958	13273
494	12981	13243
495	13002	13212
496	13032	13189
497	13058	13163
498	13084	13137
499	13113	13113
500	13142	13089
501	13166	13061
502	13190	13033
503	13213	13003
504	13241	12978
505	13279	12964
506	13319	12951
507	13350	12929
508	13383	12910
509	13418	12892
510	13448	12869
511	13477	12845
512	13509	12824
513	13537	12799
514	13567	12777
515	13589	12747
516	13612	12717
517	13634	12686
518	13656	12656
519	13682	12630
520	13711	12605
521	13731	12574
522	13756	12546
523	13785	12522
524	13811	12495
525	13832	12465
526	13855	12435
527	13881	12409
528	13913	12387
529	13944	12365
530	13984	12351
531	14019	12333
532	14048	12308
533	14077	12284
534	14106	12260
535	14135	12236
536	14163	12211
537	14190	12185
538	14216	12158
539	14241	12131
540	14271	12108
541	14301	12084
542	14327	12058
543	14348	12027
544	14368	11996
545	14389	11965
546	14415	11938
547	14441	11911
548	14461	11880
549	14481	11848
550	14499	11815
551	14525	11789
552	14551	11762
553	14573	11732
554	14595	11702
555	14616	11672
556	14644	11647
557	14676	11625
558	14710	11604
559	14745	11585
560	14776	11563
561	14812	11544
562	14842	11521
563	14872	11497
564	14908	11478
565	14935	11452
566	14965	11428
567	14999	11407
568	15031	11386
569	15060	11361
570	15092	11339
571	15124	11317
572	15158	11296
573	15187	11271
574	15215	11246
575	15245	11222
576	15267	11192
577	15294	11166
578	15318	11138
579	15343	11110
580	15363	11079
581	15384	11049
582	15408	11021
583	15435	10995
584	15457	10965
585	15479	10936
586	15505	10909
587	15529	10881
588	15550	10851
589	15571	10820
590	15592	10790
591	15616	10762
592	15641	10735
593	15664	10706
594	15686	10677
595	15711	10650
596	15738	10623
597	15760	10595
598	15781	10564
599	15803	10535
600	15827	10507
601	15853	10481
602	15874	10451
603	15896	10422
604	15921	10395
605	15946	10368
606	15967	10338
607	15987	10307
608	16008	10277
609	16032	10250
610	16058	10223
611	16079	10194
612	16101	10165
613	16126	10138
614	16152	10111
615	16175	10083
616	16200	10056
617	16225	10029
618	16251	10002
619	16276	9975
620	16297	9946
621	16322	9919
622	16345	9891
623	16369	9863
624	16389	9833
625	16409	9803
626	16431	9774
627	16455	9747
628	16480	9720
629	16502	9692
630	16522	9662
631	16549	9636
632	16576	9610
633	16597	9581
634	16618	9552
635	16640	9523
636	16665	9496
637	16690	9470
638	16711	9441
639	16735	9413
640	16759	9386
641	16786	9360
642	16807	9331
643	16826	9301
644	16847	9272
645	16871	9245
646	16898	9219
647	16932	9198
